star_id,alternate_id,prot_days,prot_err_days,prot_err_plus_days,prot_err_minus_days,age_gyr,age_err_gyr,age_err_plus_gyr,age_err_minus_gyr,bibcode,sample_name,tier_name,quality_note,teff_k,spectral_type_estimate,age_label_type,period_measurement_type,source_url
Gaia DR3 861184515292492288,WD Gaia DR3 861184515291473536,26.70,,,,6.31,0.35,0.47,0.23,2024ApJ...977...15C,Chiti et al. 2024 wide WD+MS rotators,Tier 2 - independent WD-age wide-binary rotator,central WD total age >=5.5 Gyr; MS Teff=3239 K (M estimate); public table gives MS rotation period but not row-level survey source; Chiti source mix includes ASAS-SN among other surveys; WD spectral type=DZ,3239,M,white-dwarf total age transferred to coeval wide MS companion,photometric MS rotation period from Chiti et al. compiled multi-survey search; row-level survey source not in public MRT,https://content.cld.iop.org/journals/0004-637X/977/1/15/revision1/apjad856ct1_mrt.txt
Gaia DR3 1214994506568260608,WD Gaia DR3 1214994502274335360,46.60,,,,6.71,0.25,0.24,0.26,2024ApJ...977...15C,Chiti et al. 2024 wide WD+MS rotators,Tier 2 - independent WD-age wide-binary rotator,central WD total age >=5.5 Gyr; MS Teff=3495 K (M estimate); public table gives MS rotation period but not row-level survey source; Chiti source mix includes ASAS-SN among other surveys; WD spectral type=---,3495,M,white-dwarf total age transferred to coeval wide MS companion,photometric MS rotation period from Chiti et al. compiled multi-survey search; row-level survey source not in public MRT,https://content.cld.iop.org/journals/0004-637X/977/1/15/revision1/apjad856ct1_mrt.txt
Gaia DR3 2816359731303136384,WD Gaia DR3 2816359727009816960,29.80,,,,7.46,0.12,0.15,0.10,2024ApJ...977...15C,Chiti et al. 2024 wide WD+MS rotators,Tier 2 - independent WD-age wide-binary rotator,central WD total age >=5.5 Gyr; MS Teff=3151 K (M estimate); public table gives MS rotation period but not row-level survey source; Chiti source mix includes ASAS-SN among other surveys; WD spectral type=---,3151,M,white-dwarf total age transferred to coeval wide MS companion,photometric MS rotation period from Chiti et al. compiled multi-survey search; row-level survey source not in public MRT,https://content.cld.iop.org/journals/0004-637X/977/1/15/revision1/apjad856ct1_mrt.txt
Gaia DR3 3369544303487186560,WD Gaia DR3 3369544234764481024,13.40,,,,7.07,1.11,1.89,0.33,2024ApJ...977...15C,Chiti et al. 2024 wide WD+MS rotators,Tier 2 - independent WD-age wide-binary rotator,central WD total age >=5.5 Gyr; MS Teff=3278 K (M estimate); public table gives MS rotation period but not row-level survey source; Chiti source mix includes ASAS-SN among other surveys; WD spectral type=DA,3278,M,white-dwarf total age transferred to coeval wide MS companion,photometric MS rotation period from Chiti et al. compiled multi-survey search; row-level survey source not in public MRT,https://content.cld.iop.org/journals/0004-637X/977/1/15/revision1/apjad856ct1_mrt.txt
Gaia DR3 6236729088627705216,WD Gaia DR3 6236729329145889792,26.00,,,,6.78,0.18,0.22,0.15,2024ApJ...977...15C,Chiti et al. 2024 wide WD+MS rotators,Tier 2 - independent WD-age wide-binary rotator,central WD total age >=5.5 Gyr; MS Teff=5437 K (G estimate); public table gives MS rotation period but not row-level survey source; Chiti source mix includes ASAS-SN among other surveys; WD spectral type=DA,5437,G,white-dwarf total age transferred to coeval wide MS companion,photometric MS rotation period from Chiti et al. compiled multi-survey search; row-level survey source not in public MRT,https://content.cld.iop.org/journals/0004-637X/977/1/15/revision1/apjad856ct1_mrt.txt
KIC 6196457,KOI/Kepler planet host; Ceillier row 2,16.42,1.22,1.22,1.22,5.51,0.32,0.32,0.32,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; old asteroseismic KOI; surface spot period; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5871 K (G estimate),5871,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
KIC 6521045,KOI/Kepler-100 host; Ceillier row 3,25.34,2.78,2.78,2.78,6.24,0.64,0.64,0.64,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; old asteroseismic KOI; duplicate star has seismic-splitting row in this CSV; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5825 K (G estimate),5825,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
KIC 8349582,KOI/Kepler-95 host; Ceillier row 4,51.02,1.45,1.45,1.45,7.93,0.62,0.62,0.62,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; old asteroseismic KOI; duplicate star has seismic-splitting row in this CSV; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5699 K (G estimate),5699,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
KIC 9955598,KOI/Kepler-409 host; Ceillier row 6,34.75,6.31,6.31,6.31,6.43,0.40,0.40,0.40,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; old asteroseismic KOI; duplicate star has seismic-splitting row in this CSV; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5460 K (G estimate),5460,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
KIC 10586004,Ceillier row 7,29.79,1.02,1.02,1.02,6.35,1.03,1.03,1.03,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; old asteroseismic KOI; duplicate star has seismic-splitting row in this CSV; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5770 K (G estimate),5770,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
KIC 11401755,Ceillier row 9,17.04,0.98,0.98,0.98,5.85,1.37,1.37,1.37,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; old asteroseismic KOI; duplicate star has seismic-splitting row in this CSV; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5911 K (G estimate),5911,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
16 Cyg A,KIC 12069424; Ceillier control row A,23.80,1.80,1.80,1.80,6.80,0.40,0.40,0.40,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic control star; period from p-mode splittings; treat as outer-envelope/seismic rotation; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5825 K (G estimate),5825,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
16 Cyg B,KIC 12069449; Ceillier control row B,23.20,6.00,6.00,6.00,6.80,0.40,0.40,0.40,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic control star; period from p-mode splittings; treat as outer-envelope/seismic rotation; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5750 K (G estimate),5750,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
KIC 3656476,Ceillier control row D; Mathur et al. age source flag in table,31.67,3.53,3.53,3.53,7.71,0.22,0.22,0.22,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic control sample; duplicate star has seismic-splitting row in this CSV; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5710 K (G estimate),5710,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
KIC 6116048,Ceillier control row F,17.26,1.96,1.96,1.96,6.23,0.37,0.37,0.37,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic control sample; duplicate star has seismic-splitting row in this CSV; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5935 K (G estimate),5935,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
KIC 7680114,Ceillier control row G; Mathur et al. age source flag in table,26.31,1.86,1.86,1.86,5.92,0.20,0.20,0.20,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic control sample; duplicate star has seismic-splitting row in this CSV; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5855 K (G estimate),5855,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
KIC 7871531,Ceillier control row H,33.72,2.60,2.60,2.60,9.15,0.47,0.47,0.47,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic control sample; duplicate star has seismic-splitting row in this CSV; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5400 K (G estimate),5400,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
KIC 9098294,Ceillier control row K,19.79,1.33,1.33,1.33,7.28,0.51,0.51,0.51,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic control sample; duplicate star has seismic-splitting row in this CSV; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5840 K (G estimate),5840,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
KIC 11244118,Ceillier control row O,23.17,3.89,3.89,3.89,6.43,0.58,0.58,0.58,2016MNRAS.456..119C,Ceillier et al. 2016 Kepler asteroseismic surface-rotation sample,Tier 2 - Kepler surface-rotation old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic control sample; surface spot period; spot/surface rotation is more detection-biased than seismic splitting but uses long Kepler baseline; Teff=5745 K (G estimate),5745,G,asteroseismic age,Kepler surface rotation from spot modulation except 16 Cyg A/B seismic-splitting periods as noted,https://academic.oup.com/mnras/article/456/1/119/1064136
HD 219134,HR 8832; GJ 892,41.00,2.40,2.40,2.40,10.151,1.722,1.722,1.722,2025ApJ...984..125L,HD 219134 nearby asteroseismic K-dwarf benchmark,Tier 1 - high-trust old FGK asteroseismic,asteroseismic age from five pipelines; stat and systematic age errors combined in quadrature for symmetric CSV error columns; rotation period from long-baseline activity/RV indicator modeling; Teff cooler than 5000 K K dwarf benchmark,4835,K,asteroseismic age; statistical+systematic errors combined in quadrature,"activity-index / GP rotation period from HARPS, HIRES, and APF time series",https://arxiv.org/abs/2502.00971
